Proteins,Intensity LUAD_phos_01T,Intensity LUAD_phos_02T,Intensity LUAD_phos_03T,Intensity LUAD_phos_04T,Intensity LUAD_phos_05T,Intensity LUAD_phos_06T,Intensity LUAD_phos_07T,Intensity LUAD_phos_08T,Intensity LUAD_phos_09T,Intensity LUAD_phos_10T,Intensity LUAD_phos_11T,Intensity LUAD_phos_12T,Intensity LUAD_phos_13T,Intensity LUAD_phos_14T,Intensity LUAD_phos_15T,Intensity LUAD_phos_16T,Intensity LUAD_phos_17T,Intensity LUAD_phos_18T,Intensity LUAD_phos_19T,Intensity LUAD_phos_20T,Intensity LUAD_phos_21T,Intensity LUAD_phos_22T,Intensity LUAD_phos_23T,Intensity LUAD_phos_24T,Intensity LUAD_phos_25T,Intensity LUAD_phos_26T,Intensity LUAD_phos_27T,Intensity LUAD_phos_28T,Intensity LUAD_phos_29T,Intensity LUAD_phos_30T,Intensity LUAD_phos_31T,Intensity LUAD_phos_32T,Intensity LUAD_phos_33T,Intensity LUAD_phos_34T,Intensity LUAD_phos_35T,Intensity LUAD_phos_36T,Intensity LUAD_phos_37T,Intensity LUAD_phos_38T,Intensity LUAD_phos_39T,Intensity LUAD_phos_40T,Intensity LUAD_phos_41T,Intensity LUAD_phos_42T,Intensity LUAD_phos_43T,Intensity LUAD_phos_44T,Intensity LUAD_phos_45T,Intensity LUAD_phos_46T,Intensity LUAD_phos_47T,Intensity LUAD_phos_48T,Intensity LUAD_phos_49T,Intensity LUAD_phos_50T,Intensity LUAD_phos_51T,Intensity LUAD_phos_52T,Intensity LUAD_phos_53T,Intensity LUAD_phos_54T,Intensity LUAD_phos_55T,Intensity LUAD_phos_56T,Intensity LUAD_phos_57T,Intensity LUAD_phos_58T,Intensity LUAD_phos_59T,Intensity LUAD_phos_60T,Intensity LUAD_phos_61T,Intensity LUAD_phos_62T,Intensity LUAD_phos_75T,Intensity LUAD_phos_76T,Intensity LUAD_phos_77T,Intensity LUAD_phos_78T,Intensity LUAD_phos_79T,Intensity LUAD_phos_80T,Intensity LUAD_phos_81T,Intensity LUAD_phos_82T,Intensity LUAD_phos_83T,Intensity LUAD_phos_84T,Intensity LUAD_phos_85T,Intensity LUAD_phos_86T,Intensity LUAD_phos_87T,Intensity LUAD_phos_88T,Intensity LUAD_phos_90T,Intensity LUAD_phos_91T,Intensity LUAD_phos_92T,Intensity LUAD_phos_01N,Intensity LUAD_phos_02N,Intensity LUAD_phos_03N,Intensity LUAD_phos_04N,Intensity LUAD_phos_05N,Intensity LUAD_phos_06N,Intensity LUAD_phos_07N,Intensity LUAD_phos_08N,Intensity LUAD_phos_09N,Intensity LUAD_phos_10N,Intensity LUAD_phos_11N,Intensity LUAD_phos_12N,Intensity LUAD_phos_13N,Intensity LUAD_phos_14N,Intensity LUAD_phos_15N,Intensity LUAD_phos_16N,Intensity LUAD_phos_17N,Intensity LUAD_phos_18N,Intensity LUAD_phos_19N,Intensity LUAD_phos_20N,Intensity LUAD_phos_21N,Intensity LUAD_phos_22N,Intensity LUAD_phos_23N,Intensity LUAD_phos_24N,Intensity LUAD_phos_25N,Intensity LUAD_phos_26N,Intensity LUAD_phos_27N,Intensity LUAD_phos_28N,Intensity LUAD_phos_29N,Intensity LUAD_phos_30N,Intensity LUAD_phos_31N,Intensity LUAD_phos_32N,Intensity LUAD_phos_33N,Intensity LUAD_phos_34N,Intensity LUAD_phos_35N,Intensity LUAD_phos_36N,Intensity LUAD_phos_37N,Intensity LUAD_phos_38N,Intensity LUAD_phos_39N,Intensity LUAD_phos_40N,Intensity LUAD_phos_41N,Intensity LUAD_phos_42N,Intensity LUAD_phos_43N,Intensity LUAD_phos_44N,Intensity LUAD_phos_45N,Intensity LUAD_phos_46N,Intensity LUAD_phos_47N,Intensity LUAD_phos_48N,Intensity LUAD_phos_49N,Intensity LUAD_phos_50N,Intensity LUAD_phos_51N,Intensity LUAD_phos_52N,Intensity LUAD_phos_53N,Intensity LUAD_phos_54N,Intensity LUAD_phos_55N,Intensity LUAD_phos_56N,Intensity LUAD_phos_57N,Intensity LUAD_phos_58N,Intensity LUAD_phos_59N,Intensity LUAD_phos_60N,Intensity LUAD_phos_61N,Intensity LUAD_phos_62N,Intensity LUAD_phos_75N,Intensity LUAD_phos_76N,Intensity LUAD_phos_77N,Intensity LUAD_phos_78N,Intensity LUAD_phos_79N,Intensity LUAD_phos_80N,Intensity LUAD_phos_81N,Intensity LUAD_phos_82N,Intensity LUAD_phos_83N,Intensity LUAD_phos_84N,Intensity LUAD_phos_85N,Intensity LUAD_phos_86N,Intensity LUAD_phos_87N,Intensity LUAD_phos_88N,Intensity LUAD_phos_90N,Intensity LUAD_phos_91N,Intensity LUAD_phos_92N
A0JLT2,124879140.5,241145189.2,122376826.2,257092368.2,247263376.4,120685449.3,132904999.3,130002155.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,120121886,0,0,0,0,0,0,0,0,0,0,0,0,120295881.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71587120.35,0,0,0,0,0,0,0,0,0,0,0,120658342,0,0,0,0,0,0,0,0,0,0,0,0,64595418.31,132743035.6,0,246749116.4,0,119758404.7,123605325.4,137012907.3,138479607.6,231647644.8,0,0,0,0,0,0,0,0,0,0,0,0,0,88509688.8,0,0,0,0,0,0,0,0,105863967.2,0,0,0,0,115781150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114313458.1,0,61492002.57,0,91982247.04,0,0,0,0,0,0,0,0
A0JNW5,237119281,246017489.2,255462752.4,262832468.2,253567576.4,555829446.5,243498598.6,126589955.2,246533042.2,0,69083633.79,134574745.1,132269233,121921134.8,126509539.7,91311110.64,162507144.6,89931906.2,208372649.8,490255125.2,230407716.6,207765497,179845908.6,241302272,194646755.6,0,242995735.7,197232876.4,0,64663228.32,312355517.8,342015450.6,237253996.6,115354718,112181736.6,0,364777445.7,118369990.8,128582456.4,138299967.9,274463221.6,0,125333812.5,257719050.2,214686684,256309023.8,0,124090703.7,130392996.1,223753823.1,352225918.3,243254641.2,85187978.99,287035361,93150863,159247201.9,178990755.3,138815165,210464502.9,258049033.1,0,121717314.8,0,137883356.7,137091996.8,115267642,129228074.6,27274700,31935808.18,0,180835451.4,0,322071430,0,257709669,132272128.4,125529708.4,110756578.7,222603354.9,257267591.2,366390583.2,379656474.6,265246510.6,128537804.7,130301225.4,133592907.3,135598207.6,230668044.8,0,0,0,0,124258207.4,0,0,0,0,0,126993532.7,0,0,116190733.2,97791581.81,0,0,0,0,104591613.4,0,0,0,0,122682165.3,0,0,117029250,0,0,265903325.2,135294448.5,0,128771113.5,127862638.3,0,0,121424673.9,0,133618623.4,0,121009130.5,125586141.5,0,0,100996661.9,0,0,0,83004567.79,91815742.76,115572977.9,0,118711232.6,0,0,128102802.5,290342516.2,28001744.7,0,0,121399570.6,144150908,0,0,131567671.5,129934422.6,0,0,146796573.4
A0MZ66,233955381,116330644.6,0,394443602.3,504994152.8,110030549.3,347933597.9,127751255.2,217657742.2,127735853.9,0,0,0,0,0,0,0,0,104151324.9,0,0,0,0,96426885.97,0,0,0,0,0,0,61607205.95,216682700.4,0,0,75356736.64,0,128333181.9,0,0,285362335.8,137103060.8,0,127255912.5,129118575.1,104487792,132985911.9,0,123615303.7,133891796.1,85182811.56,0,117627920.6,0,69503120.35,0,0,0,0,0,0,0,0,0,0,0,115363442,234905249.2,0,0,0,0,0,0,0,0,0,0,0,64024618.31,0,0,0,401168695.9,480502518.8,243668050.8,122850207.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72464215.94,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1A4G5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111765372.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111436658.1,0,0,0,0,63029403.99,0,0,0,0,0,0,0
A1A4S6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49091892.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,131555655.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1A5D9,241644581,120276544.6,241858152.4,269303868.2,548459252.8,221669998.6,668557866.5,385427165.6,333642713.3,0,151375667.6,134926145.1,0,247554769.6,0,93959510.64,0,91866106.2,205041249.8,120382206.3,115209658.3,213843997,56570302.87,85289885.97,97034927.79,0,45627283.92,45369392.14,93678213.12,0,188290411.9,116080950.2,0,114476218,145807373.3,122837135.4,243119663.8,120667890.8,131745056.4,285685535.8,271789321.6,0,381311777.5,126187075.1,104080392,260243123.8,0,126888403.7,0,39683355.78,0,0,0,0,93837863,157982401.9,0,0,0,0,0,0,0,0,0,353576226,250952449.2,5879500,0,0,58170150.47,63647463.6,182075820,128469721.4,129108384.5,0,0,0,66779118.31,127421205.6,122996394.4,249028116.4,131978955.3,363694904.1,121491725.4,505430129.2,129534607.6,228842744.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79451225.26,105819467.2,0,0,0,0,0,0,0,0,0,83311730.2,0,0,0,0,0,0,0,57930730.97,0,0,0,0,0,0,0,0,0,0,0,0,93247032.62,0,0,0,0,0,0,0,0,60849103.99,0,0,0,0,124682225.7,0,70008586.72
A1L020,232866581,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89710806.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,121685717.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1L170,482852662,245218689.2,0,258956168.2,379914664.6,223038798.6,478124497.2,0,344662413.3,0,72372933.79,269349090.2,0,123299434.8,0,100489510.6,0,269661212.4,202504849.8,0,367315874.9,102616698.5,0,95650885.97,192772355.6,0,0,0,0,0,137962511.9,118131950.2,0,0,149205473.3,0,238610363.8,257553381.6,127372666.4,0,140824360.8,0,0,254859880.2,0,0,0,0,264679392.2,0,0,238821041.2,0,0,223310726,0,0,0,71273034.29,0,118958790.4,0,0,0,133858636.8,122296442,112881274.6,115931000,0,0,0,126282927.2,0,127311821.4,128909084.5,0,124022708.4,0,65957218.31,0,242374418.8,246532116.4,267960910.6,245268509.4,124244225.4,250324214.6,0,113725372.4,0,0,0,0,0,120578905.5,0,0,0,0,0,0,0,0,0,106056979.6,0,0,0,0,0,0,0,0,0,85480153.43,0,0,0,0,0,0,0,0,0,0,0,372099721.7,0,116764423.4,50565730.97,0,0,0,70570015.94,101724461.9,0,92690807.55,101738229.7,80555367.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1L390,233432081,700326287.6,356006678.6,397104902.3,964311605.6,434811897.2,692229495.8,251569860.4,102830271.1,0,0,0,0,123596934.8,0,189882721.3,274901566.9,90789106.2,685498949.4,0,0,96653698.53,54408302.87,157794071.9,379004411.2,0,103039867.8,223467668.6,166752826.2,0,0,0,0,114969818,64042836.64,0,0,0,0,133587987.9,0,0,0,253200950.2,0,0,0,244871607.4,261310192.2,0,0,231217561.2,0,334637801.8,0,0,0,0,0,0,123108790.4,0,0,0,0,0,337393423.8,0,0,0,56008150.47,0,260115830,0,0,0,0,0,61007718.31,128769635.6,484010867.6,868402307.4,526569101.2,722107228.2,241829880.8,494646429.2,387496592.8,0,0,0,0,0,0,0,0,0,216620498.6,0,0,0,0,115736277.6,0,0,0,0,74498749.66,0,0,0,105241467.2,0,0,0,0,0,0,0,0,135320268.5,0,0,0,0,0,122636673.9,0,237072446.8,0,0,242017323,0,0,0,0,0,498511748.5,0,0,0,0,0,111833882.7,0,0,228521716.2,0,0,0,122681394.1,127732208,0,0,0,0,0,0,0
A1X283,118696740.5,0,119059226.2,136243234.1,0,108296549.3,0,0,113282471.1,0,0,0,0,126148534.8,128332139.7,0,0,0,0,0,0,0,59662302.87,0,0,0,92278983.92,76365892.14,83159313.12,160331856.6,0,0,0,0,0,0,0,0,0,135896767.9,0,0,0,0,0,0,131076097.6,0,0,88329955.78,117668706.1,0,0,93033120.35,0,0,0,0,0,94890344.36,0,0,0,0,0,116142942,0,19012000,40784908.18,0,61262150.47,0,90573809.99,134409521.4,135864984.5,131488328.4,0,0,63345618.31,0,0,123768758.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,105486379.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A1YPR0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,133299877.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A2A2Y4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128296235.6,121886994.4,0,0,0,0,123359607.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40521344.4,96163481.81,0,0,0,0,0,0,0,0,0,0,0,0,0,131555803.7,124478308,0,0,89211630.2,0,128652758.3,0,0,0,126327033.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,114574182.7,0,0,114636658.1,0,0,0,42257623.52,0,0,0,0,0,0,0,0
